================================================================================
ОТЧЁТ ПО AUTOMATIONID В TRBOnet Server
Дата: 2026-07-08 01:34:35
================================================================================

  AutomationId: 'm_pnlParent' | Name: '' | Type: 'Pane'
  AutomationId: 'm_lblConfigPassword' | Name: 'Server password:' | Type: 'Text'
  AutomationId: 'm_lblLine' | Name: 'Turn off password' | Type: 'Text'
  AutomationId: 'm_pnlActions' | Name: '' | Type: 'Pane'
  AutomationId: 'm_lnkImportConfig' | Name: 'Import Configuration' | Type: 'Text'
  AutomationId: 'm_lnkExportConfig' | Name: 'Export Configuration' | Type: 'Text'
  AutomationId: 'm_lnkViewLog1' | Name: 'View Log Entries' | Type: 'Text'
  AutomationId: 'm_pnlButtons' | Name: '' | Type: 'Pane'
  AutomationId: 'm_btnApply' | Name: 'Apply' | Type: 'Button'
  AutomationId: 'm_btnDefaults' | Name: 'Set Defaults' | Type: 'Button'
  AutomationId: 'm_btnOk' | Name: 'OK' | Type: 'Button'
  AutomationId: 'm_btnCancel' | Name: 'Cancel' | Type: 'Button'
  AutomationId: 'MenuBar' | Name: 'System' | Type: 'MenuBar'

Всего найдено элементов с AutomationId: 69
================================================================================
